time	s5	s16	s1	s27	s28	s30	s31	s32	s33	s37	s46	s75	s101	s102	s107	s121	s155	s164	s171	s172	s173	s170	s195	s174	s239	s36	s123	s129	s159	s232	s176	s179	s183	s188	s245	s252	s268	s260	s270	s275	s278	s286	s288	s292	s61	s259	s266	s267	s304	s305	nnamed: 5
0	0.0	0.0	3.0	0.0	3.0	1.0	3.0	1.0	0.0	0.0	1.0	3.0	0.0	3.0	3.0	4.0	0.0	0.0	2.0	2.0	2.0	2.0	0.0	4.0	5.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.5	0.0	
40	1.24138	0.809357	0.681921	1.50872	1.49128	0.0495901	2.4091299999999998	0.69306	0.30694	0.074004	0.7112	1.7830000000000001	0.92396	2.67565	2.23385	2.14609	0.0743127	0.922157	0.0226975	0.08513530000000001	0.0474096	0.00672059	1.91382	0.660762	1.44054	0.100508	0.348114	0.154441	0.29201900000000003	0.702021	1.34596	0.015976900000000002	0.0247122	0.037725699999999994	0.33221300000000004	3.89417	0.000590614	3.0997199999999995e-05	0.00061853	0.00102141	0.00180279	1.1256899999999999	0.266517	0.250345	1.1662	0.833549	0.000115405	0.000140055	0.5	0.00104328	
80	1.24138	0.809357	0.681921	1.50872	1.49128	0.0563077	2.34879	0.698515	0.301485	0.0813193	0.709554	1.7816900000000002	0.9254549999999999	2.6439999999999997	2.0178599999999998	2.14193	0.0745362	0.9254450000000001	0.0121464	0.0451198	0.0278589	0.00358031	1.9546299999999999	0.660196	1.44054	0.10080599999999999	0.34930700000000003	0.155027	0.292854	0.7013	1.34338	0.00856613	0.0157125	0.0172609	0.407443	3.8281699999999996	3.16799e-06	1.6354399999999997e-07	3.3221300000000003e-06	5.50545e-06	9.70429e-06	1.27463	0.295207	0.27468000000000004	1.1747299999999998	0.8252649999999999	6.124960000000001e-07	7.41571e-07	0.5	0.000250409	
120	1.24138	0.809357	0.681921	1.50872	1.49128	0.05897569999999999	2.32582	0.70198	0.29802	0.08408710000000001	0.717414	1.78026	0.9254629999999999	2.63203	1.9332	2.1463900000000002	0.07453739999999999	0.9254629999999999	0.00891265	0.0319241	0.0210497	0.00262125	1.96796	0.658411	1.44054	0.10115700000000001	0.351288	0.157653	0.29427800000000004	0.703639	1.3442100000000001	0.006291399999999999	0.012137100000000001	0.0108744	0.422838	3.80525	1.6963599999999997e-08	8.72967e-10	1.7894400000000003e-08	2.9651200000000003e-08	5.22694e-08	1.33365	0.306217	0.283878	1.17769	0.822311	3.2684e-09	3.96243e-09	0.5	0.00011125600000000001	
160	1.24138	0.809357	0.681921	1.50872	1.49128	0.0600053	2.3171	0.7038	0.2962	0.0851328	0.723743	1.7791700000000001	0.9254629999999999	2.62751	1.9006599999999998	2.1501200000000003	0.07453739999999999	0.9254629999999999	0.00736496	0.0252709	0.017457	0.00216318	1.9746700000000001	0.656978	1.44054	0.10142799999999999	0.35279299999999997	0.159672	0.29536599999999996	0.705671	1.3451799999999998	0.00520178	0.010092	0.00781391	0.423159	3.79757	9.06058e-11	4.65775e-12	9.60422e-11	1.59119e-10	2.80522e-10	1.35643	0.31040999999999996	0.287356	1.17868	0.821319	1.74369e-11	2.1149000000000004e-11	0.5	6.31817e-05	
200	1.24138	0.809357	0.681921	1.50872	1.49128	0.060419600000000004	2.3136200000000002	0.704696	0.295304	0.0855495	0.7274109999999999	1.77855	0.9254629999999999	2.6257099999999998	1.88759	2.15232	0.07453739999999999	0.9254629999999999	0.00645628	0.0212258	0.0151882	0.00189487	1.9787299999999999	0.656135	1.44054	0.101583	0.353648	0.160828	0.295985	0.706868	1.34576	0.00456141	0.00873188	0.00603759	0.42138400000000004	3.7948699999999995	4.835729999999999e-13	2.4849400000000003e-14	5.140310000000001e-13	8.5155e-13	1.50134e-12	1.36561	0.31208800000000003	0.28874299999999997	1.17903	0.8209700000000001	9.30244e-14	1.1284500000000001e-13	0.5	4.09654e-05	
240	1.24138	0.809357	0.681921	1.50872	1.49128	0.060595	2.31215	0.705126	0.29487399999999997	0.08572510000000001	0.729309	1.77824	0.9254629999999999	2.62495	1.88205	2.15346	0.07453739999999999	0.9254629999999999	0.005853499999999999	0.018488499999999998	0.0136021	0.00171726	1.98148	0.655688	1.44054	0.101661	0.354085	0.161423	0.29630100000000004	0.707487	1.3460299999999998	0.00413625	0.00774862	0.00488636	0.420049	3.7938400000000003	2.58028e-15	1.32574e-16	2.7467700000000003e-15	4.55011e-15	8.02238e-15	1.3695	0.312797	0.28932800000000003	1.17916	0.820838	4.96288e-16	6.02067e-16	0.5	2.8860500000000003e-05	
280	1.24138	0.809357	0.681921	1.50872	1.49128	0.060672300000000005	2.3115	0.70533	0.29467	0.0858022	0.730244	1.7780799999999999	0.9254629999999999	2.6246099999999997	1.8796099999999998	2.15403	0.07453739999999999	0.9254629999999999	0.00541963	0.016502799999999998	0.0124184	0.00158961	1.98348	0.655457	1.44054	0.101699	0.354297	0.161714	0.296455	0.7077869999999999	1.3461299999999998	0.00383002	0.00699879	0.00408434	0.419295	3.7934300000000003	1.3767100000000001e-17	7.07303e-19	1.4665699999999997e-17	2.42936e-17	4.28331e-17	1.37122	0.313109	0.289585	1.1792200000000002	0.8207840000000001	2.64777e-18	3.21218e-18	0.5	2.1523e-05	
320	1.24138	0.809357	0.681921	1.50872	1.49128	0.0607072	2.31121	0.705426	0.294574	0.08583710000000001	0.730694	1.7780099999999999	0.9254629999999999	2.62446	1.87851	2.1543099999999997	0.07453739999999999	0.9254629999999999	0.00508869	0.01499	0.011493799999999998	0.00149234	1.9849900000000003	0.655337	1.44054	0.101716	0.354398	0.161853	0.296528	0.7079270000000001	1.34616	0.00359634	0.0064051	0.00349624	0.41890900000000003	3.79325	7.3453e-20	3.77365e-21	7.82736e-20	1.2965800000000001e-19	2.28607e-19	1.37199	0.31325	0.28970100000000004	1.17924	0.8207610000000001	1.41265e-20	1.7138e-20	0.5	1.67295e-05	
360	1.24138	0.809357	0.681921	1.50872	1.49128	0.0607232	2.31108	0.705471	0.294529	0.085853	0.730908	1.77798	0.9254629999999999	2.62439	1.8780000000000001	2.15444	0.07453739999999999	0.9254629999999999	0.00482527	0.013794999999999998	0.0107469	0.00141498	1.9861900000000001	0.6552720000000001	1.44054	0.101724	0.354444	0.161919	0.296561	0.707989	1.34614	0.00341029	0.00592163	0.00304811	0.41872	3.79317	3.9191000000000004e-22	2.01341e-23	4.17695e-22	6.918960000000001e-22	1.21992e-21	1.37235	0.313315	0.28975500000000004	1.17925	0.82075	7.53715e-23	9.14394e-23	0.5	1.34191e-05	
